City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
67,Santa Isabel,-23.3156,-46.2214,88.9,74,85,5.97,BR,2022-01-20 19:20:07
68,Omboue,-1.5746,9.2618,77.22,82,100,4.83,GA,2022-01-20 19:17:18
69,Livingston,55.9029,-3.5226,37.58,85,0,3.44,GB,2022-01-20 19:20:07
70,Tsumeb,-19.2333,17.7167,65.75,74,100,5.32,NA,2022-01-20 19:20:08
71,Sanbu,33.4594,119.1453,31.21,77,100,5.19,CN,2022-01-20 19:20:08
72,Puri,19.8,85.85,64.92,73,46,9.08,IN,2022-01-20 19:20:08
73,Talnakh,69.4865,88.3972,9.19,95,100,11.59,RU,2022-01-20 19:13:12
74,Nikolskoye,59.7035,30.7861,34.88,90,96,7.34,RU,2022-01-20 19:14:40
75,Husavik,66.0449,-17.3389,46.31,87,100,15.64,IS,2022-01-20 19:20:09
76,Berlevag,70.8578,29.0864,32.07,86,100,34.02,NO,2022-01-20 19:20:09
77,Hermanus,-34.4187,19.2345,66.9,82,0,5.1,ZA,2022-01-20 19:20:09
78,Davila,18.4726,120.5763,74.73,78,24,9.33,PH,2022-01-20 19:20:10
79,Hofn,64.2539,-15.2082,42.31,81,100,5.82,IS,2022-01-20 19:20:10
80,Broken Hill,-31.95,141.4333,72.32,58,96,19.48,AU,2022-01-20 19:20:11
81,Clyde River,70.4692,-68.5914,-0.17,78,100,6.91,CA,2022-01-20 19:20:11
82,Venice,27.0998,-82.4543,79.05,60,0,6.91,US,2022-01-20 19:17:32
83,Saskylakh,71.9167,114.0833,-21.91,99,44,6.42,RU,2022-01-20 19:15:45
84,Nemuro,43.3236,145.575,27.14,76,71,22.5,JP,2022-01-20 19:20:12
85,Arlit,18.7369,7.3853,64.13,19,0,8.1,NE,2022-01-20 19:20:12
86,Whitehorse,60.7161,-135.0538,17.1,84,100,3.0,CA,2022-01-20 19:17:46
87,Norman Wells,65.282,-126.8329,-11.16,64,100,12.66,CA,2022-01-20 19:20:13
88,Mar Del Plata,-38.0023,-57.5575,74.08,91,100,5.99,AR,2022-01-20 19:14:42
89,Geraldton,-28.7667,114.6,68.41,64,0,5.75,AU,2022-01-20 19:14:26
90,Dikson,73.5069,80.5464,3.52,93,100,17.63,RU,2022-01-20 19:20:13
91,Bambous Virieux,-20.3428,57.7575,81.21,89,40,11.5,MU,2022-01-20 19:20:13
92,Bestobe,52.4994,73.0975,-2.6,97,54,4.85,KZ,2022-01-20 19:21:14
93,Porto Novo,6.4965,2.6036,80.42,52,60,6.87,BJ,2022-01-20 19:20:47
94,Hongjiang,27.11,109.9956,50.79,90,100,1.88,CN,2022-01-20 19:21:14
95,Savannah Bight,16.45,-85.85,84.25,74,2,13.4,HN,2022-01-20 19:21:14
96,Port Hardy,50.6996,-127.4199,44.76,100,100,2.3,CA,2022-01-20 19:14:38
97,Vila Do Maio,15.1333,-23.2167,74.19,78,93,13.15,CV,2022-01-20 19:21:15
98,Fallon,39.4735,-118.7774,49.91,56,40,0.0,US,2022-01-20 19:18:38
99,Guerrero Negro,27.9769,-114.0611,69.49,41,0,9.46,MX,2022-01-20 19:21:15
100,Santa Marinella,42.0345,11.8536,54.03,90,86,6.73,IT,2022-01-20 19:21:15
101,Vilyuysk,63.7553,121.6247,-0.58,99,100,3.6,RU,2022-01-20 19:21:16
102,Vaini,-21.2,-175.2,81.43,80,6,19.37,TO,2022-01-20 19:21:16
103,Kapaa,22.0752,-159.319,75.18,82,20,5.75,US,2022-01-20 19:21:16
104,Vangaindrano,-23.35,47.6,72.34,88,98,7.4,MG,2022-01-20 19:21:16
105,Paita,-5.0892,-81.1144,86.56,66,84,17.18,PE,2022-01-20 19:17:51
106,Tiksi,71.6872,128.8694,-8.05,88,100,12.93,RU,2022-01-20 19:14:39
107,Pevek,69.7008,170.3133,-36.62,97,18,1.23,RU,2022-01-20 19:12:25
108,Enshi,30.3,109.4833,44.98,95,100,0.43,CN,2022-01-20 19:21:17
109,Korla,41.7597,86.1469,29.61,48,100,5.84,CN,2022-01-20 19:21:17
110,Cape Town,-33.9258,18.4232,67.26,68,0,19.57,ZA,2022-01-20 19:18:19
111,Maniitsoq,65.4167,-52.9,14.49,80,100,11.5,GL,2022-01-20 19:21:17
112,Sabang,5.8933,95.3214,80.83,72,15,5.17,ID,2022-01-20 19:15:51
113,Arraial Do Cabo,-22.9661,-42.0278,85.96,78,0,16.11,BR,2022-01-20 19:18:47
114,Marcon,47.7106,0.511,43.38,87,43,9.89,FR,2022-01-20 19:21:18
115,Lagoa,39.05,-27.9833,61.63,86,76,20.11,PT,2022-01-20 19:13:11
116,Maragogi,-9.0122,-35.2225,83.23,69,2,10.13,BR,2022-01-20 19:21:18
117,Los Llanos De Aridane,28.6585,-17.9182,64.15,84,75,13.8,ES,2022-01-20 19:21:19
118,Jamestown,42.097,-79.2353,20.52,46,40,11.01,US,2022-01-20 19:20:56
119,Sassandra,4.95,-6.0833,78.51,66,7,5.75,CI,2022-01-20 19:21:19
120,Narsaq,60.9167,-46.05,30.42,89,100,18.37,GL,2022-01-20 19:11:42
121,Svetlogorsk,52.6333,29.7333,29.52,91,100,12.82,BY,2022-01-20 19:21:19
122,Mayo,38.8876,-76.5119,37.38,82,100,5.99,US,2022-01-20 19:21:19
123,Hasaki,35.7333,140.8333,32.4,46,1,21.03,JP,2022-01-20 19:21:20
124,Rawson,-43.3002,-65.1023,67.03,89,100,12.68,AR,2022-01-20 19:21:20
125,Barrow,71.2906,-156.7887,-20.18,76,75,6.91,US,2022-01-20 19:20:01
126,Kodiak,57.79,-152.4072,26.11,93,100,3.44,US,2022-01-20 19:21:21
127,Mahebourg,-20.4081,57.7,80.89,89,40,11.5,MU,2022-01-20 19:11:44
128,Jiazi,22.8779,116.067,59.92,84,100,19.39,CN,2022-01-20 19:21:21
129,Fort-Shevchenko,44.5086,50.263,32.11,74,100,21.03,KZ,2022-01-20 19:21:21
130,San Policarpo,12.1791,125.5072,77.45,83,45,9.82,PH,2022-01-20 19:21:22
131,Shache,38.4167,77.2406,33.71,33,0,3.83,CN,2022-01-20 19:21:22
132,Kahului,20.8947,-156.47,77.85,77,0,0.0,US,2022-01-20 19:21:22
133,Rafaela,-31.2503,-61.4867,99.0,36,72,4.0,AR,2022-01-20 19:20:13
134,Rocha,-34.4833,-54.3333,81.84,76,70,12.26,UY,2022-01-20 19:17:07
