City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
179,Cidreira,BR,75.99,clear sky,-30.1811,-50.2056,Hotel Castelo
181,Atar,MR,82.06,overcast clouds,20.5169,-13.0499,Oumou Elghoura
188,Xapuri,BR,73.89,overcast clouds,-10.6517,-68.5044,Pousada dos Chapurys
191,Qui Nhon,VN,75.27,overcast clouds,13.7667,109.2333,Hoang Yen Canary Hotel
192,Tautira,PF,82.42,light rain,-17.7333,-149.15,Pension Oaoa
195,Vao,NC,79.09,overcast clouds,-22.6667,167.4833,Hotel Kou-Bugny
200,Manaquiri,BR,82.89,overcast clouds,-3.3167,-60.35,
210,Hambantota,LK,76.68,clear sky,6.1241,81.1185,Bungalow 63
213,Sao Joao Da Barra,BR,84.29,scattered clouds,-21.6403,-41.0511,Pousada Porto De Canoas
216,San Cristobal,VE,71.78,overcast clouds,7.7669,-72.225,Posada Villaven C.A.
218,Yeppoon,AU,73.18,scattered clouds,-23.1333,150.7333,Villa Mar Colina
219,Hilo,US,78.53,few clouds,19.7297,-155.09,Hilo Hawaiian Hotel
220,Pontes E Lacerda,BR,78.46,overcast clouds,-15.2261,-59.3353,Hotel Bressan
222,Vila Velha,BR,84.15,scattered clouds,-20.3297,-40.2925,Quality Suites Vila Velha
223,Huarmey,PE,73.17,overcast clouds,-10.0681,-78.1522,Hotel Miramar
224,Burgersdorp,ZA,76.44,overcast clouds,-30.9977,26.3286,DeKat Self Catering
227,Oussouye,SN,82.58,overcast clouds,12.485,-16.5469,Auberge du Routard
231,Santa Isabel,BR,72.36,light rain,-23.3156,-46.2214,Chácara Sombra do Altíssimo
233,Broken Hill,AU,80.01,overcast clouds,-31.95,141.4333,Royal Exchange Hotel
238,Saint-Pierre,RE,78.48,clear sky,-21.3393,55.4781,Lindsey Hôtel
244,Trairi,BR,76.53,overcast clouds,-3.2778,-39.2689,janelas do mar
245,Butaritari,KI,81.91,light rain,3.0707,172.7902,Isles Sunset Lodge
248,Lorengau,PG,78.44,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
250,Kununurra,AU,80.58,overcast clouds,-15.7667,128.7333,Hotel Kununurra
251,Itaituba,BR,84.36,light rain,-4.2761,-55.9836,Hotel Campos
254,Mucurapo,TT,84.02,few clouds,10.6667,-61.5333,Courtyard by Marriott Port of Spain
255,Carnarvon,AU,78.87,broken clouds,-24.8667,113.6333,Hospitality Carnarvon
256,Sao Filipe,CV,71.65,overcast clouds,14.8961,-24.4956,Hotel Xaguate
258,Vieques,PR,85.84,scattered clouds,18.425,-65.8329,"The St. Regis Bahia Beach Resort, Puerto Rico"
262,Omboue,GA,78.91,overcast clouds,-1.5746,9.2618,Hotel Olako
263,Bathsheba,BB,81.21,scattered clouds,13.2167,-59.5167,Atlantis Hotel
264,Karratha,AU,82.72,broken clouds,-20.7377,116.8463,ibis Styles Karratha
268,Galesong,ID,75.22,moderate rain,-5.3166,119.3661,Sapriadi Appy
271,Nhulunbuy,AU,81.21,scattered clouds,-12.2333,136.7667,East Arnhem Real Estate
272,Sao Paulo De Olivenca,BR,88.57,overcast clouds,-3.3783,-68.8725,
277,Matara,LK,75.85,few clouds,5.9485,80.5353,Amaloh Boutique Resort
280,Iquitos,PE,87.84,clear sky,-3.7481,-73.2472,Casa Morey Hotel & Restaurant
282,Bengkulu,ID,76.08,moderate rain,-3.8004,102.2655,Grage Hotel Bengkulu
284,Bambous Virieux,MU,79.21,light rain,-20.3428,57.7575,Casa Tia Villa
288,Aripuana,BR,75.42,moderate rain,-9.1667,-60.6333,
289,Madras,IN,78.96,mist,13.0878,80.2785,City home
293,Meulaboh,ID,77.52,overcast clouds,4.1363,96.1285,Kost Pria
298,Boyolangu,ID,75.29,overcast clouds,-8.1181,111.8935,Yos ega cv
299,Pemba,MZ,79.5,broken clouds,-12.974,40.5178,Guesthouse Samotina
301,Payo,ID,72.25,very heavy rain,-3.7508,103.6372,Mess keban agung
305,Kaeo,NZ,71.33,overcast clouds,-35.1,173.7833,Bushido Lodge
306,Bandarbeyla,SO,76.05,overcast clouds,9.4942,50.8122,JABIR HOTEL
307,Kloulklubed,PW,81.82,overcast clouds,7.0419,134.2556,Storyboard Beach Resort
309,Tecoanapa,MX,84.29,clear sky,16.5167,-98.75,Hotel Manglares
313,Talcahuano,CL,73.08,clear sky,-36.7167,-73.1167,departamento comodo
315,Bredasdorp,ZA,70.92,overcast clouds,-34.5322,20.0403,Bredasdorp Country Manor
325,Padilla,CO,80.17,overcast clouds,3.2204,-76.3139,La Granadina
329,Puerto Suarez,BO,88.36,broken clouds,-18.95,-57.8,Hotel casa real
337,Padang,ID,75.25,overcast clouds,-0.9492,100.3543,Mercure Padang
340,Anito,PH,75.25,scattered clouds,12.4497,125.2886,FELIPA LAODENIO PROPERTY
341,Merauke,ID,77.29,overcast clouds,-8.4667,140.3333,
344,Hounde,BF,82.58,broken clouds,11.5,-3.5167,Carrefour où ouvriers dorment
346,Nabire,ID,74.66,overcast clouds,-3.3667,135.4833,Hotel Nusantara Nabire
353,Upata,VE,87.6,overcast clouds,8.0086,-62.3989,Posada Villa Nela
356,Micomeseng,GQ,72.34,overcast clouds,2.1462,10.6164,
358,Vung Tau,VN,78.17,scattered clouds,10.346,107.0843,Green hotel
360,East London,ZA,75.04,overcast clouds,-33.0153,27.9116,Tu Casa
367,Ambulu,ID,76.62,overcast clouds,-8.345,113.6058,Hotel Ambulu Jember
371,Axim,GH,80.01,overcast clouds,4.8699,-2.2405,Axim Beach Resort And Spa
372,Namatanai,PG,78.75,overcast clouds,-3.6667,152.4333,Seagulls Inn Namatani
376,Hualmay,PE,73.51,overcast clouds,-11.0964,-77.6139,Hotel Villa Kitzia Huacho
377,Puerto Colombia,CO,86.09,clear sky,10.9878,-74.9547,Hotel El Emigrante
378,Pimentel,PE,79.09,clear sky,-6.8367,-79.9342,Casona Del Muelle
379,Mitsamiouli,KM,80.89,clear sky,-11.3847,43.2844,Foyer ADM
380,Port Augusta,AU,81.72,overcast clouds,-32.5,137.7667,Majestic Oasis Apartments
381,Morondava,MG,82.62,scattered clouds,-20.2833,44.2833,La Case Bambou
382,Kupang,ID,79.84,overcast clouds,-10.1667,123.5833,Hotel On The Rock by Prasanthi
389,Mahebourg,MU,79.25,broken clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
391,Cockburn Town,TC,75.16,broken clouds,21.4612,-71.1419,Osprey Beach Hotel
393,Benjamin Constant,BR,89.73,light rain,-4.3831,-70.0311,CASA AVALIADA
395,Nuqui,CO,84.9,light rain,5.7125,-77.2708,Hotel Nuquimar
398,Oistins,BB,80.69,scattered clouds,13.0667,-59.5333,Butterfly Beach Hotel
400,Taoudenni,ML,75.99,overcast clouds,22.6783,-3.9836,
405,Belmonte,BR,82.9,clear sky,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
407,Rockport,US,71.85,overcast clouds,28.0206,-97.0544,"Holiday Inn Express & Suites Rockport - Bay View, an IHG Hotel"
409,Acapulco,MX,84.02,clear sky,16.8634,-99.8901,HS Hotsson Smart Acapulco
414,Harper,LR,80.19,broken clouds,4.375,-7.7169,Screensaver
415,Santa Maria,BR,83.5,few clouds,-29.6842,-53.8069,Hotel Morotin
419,Gamboula,CF,75.87,overcast clouds,4.1178,15.1393,
423,Sola,VU,77.68,overcast clouds,-13.8833,167.55,Leumerus Bungalows
426,Barra,BR,83.89,scattered clouds,-11.0894,-43.1417,Motel Albatroz
428,Richards Bay,ZA,72.28,overcast clouds,-28.783,32.0377,BON Hotel Waterfront Richards Bay
429,Mulchen,CL,75.06,clear sky,-37.7167,-72.2333,Hotel Los Maitenes de Villalón
435,Hervey Bay,AU,73.04,scattered clouds,-25.2986,152.8535,Shelly Bay Resort
438,Dano,BF,82.94,broken clouds,11.15,-3.0667,Auberge Phenix32-Dano
439,Carire,BR,75.02,overcast clouds,-3.9506,-40.4733,POUSADA PAIVA
440,Yaan,NG,81.57,overcast clouds,7.3833,8.5667,
451,Tual,ID,83.79,overcast clouds,-5.6667,132.75,Grand Vilia Hotel
452,Oum Hadjer,TD,70.05,clear sky,13.2954,19.6966,
458,Metro,ID,75.58,heavy intensity rain,-5.1131,105.3067,OYO 3177 Wisma Lintang
465,Rio Grande,BR,80.71,scattered clouds,-32.035,-52.0986,Hotel Atlântico Rio Grande
469,Mount Isa,AU,74.97,overcast clouds,-20.7333,139.5,ibis Styles Mt Isa Verona
470,Poya,NC,78.35,overcast clouds,-21.35,165.15,
474,Eyl,SO,75.0,overcast clouds,7.9803,49.8164,Amiin Hotel
477,Vanimo,PG,76.64,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
478,Cove,BJ,82.2,broken clouds,7.221,2.3402,TG Hôtel
479,San Patricio,US,72.32,clear sky,28.017,-97.5169,"Motel 6 Sinton, TX"
481,Kirakira,SB,81.0,light rain,-10.4544,161.9205,SanBiz Lodge
483,El Alto,PE,78.46,scattered clouds,-4.2714,-81.2147,Black Marlin Restaurant & Hospedaje
486,Coronado,US,77.43,clear sky,32.6859,-117.1831,El Cordova Hotel
488,Mangochi,MW,71.01,clear sky,-14.4782,35.2645,Fort Johnstone Hotel
504,Sangmelima,CM,71.62,overcast clouds,2.9333,11.9833,gamestar hotel
509,Kikwit,CD,76.98,overcast clouds,-5.041,18.8162,HOTEL PLACE YALABA
515,Mogadishu,SO,77.32,broken clouds,2.0371,45.3438,Hotel Juba
518,Bocas Del Toro,PA,79.86,clear sky,9.3333,-82.25,Hotel Bocas del Toro
521,Quatre Cocos,MU,79.09,light rain,-20.2078,57.7625,Sunrise Attitude Hotel
526,Labuan,MY,77.36,light rain,5.2767,115.2417,Tiara Labuan Hotel
528,Alofi,NU,75.09,shower rain,-19.0595,-169.9187,Taloa Heights
538,Yulara,AU,73.24,light rain,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
542,Adrar,MR,78.28,overcast clouds,20.5022,-10.0711,
543,Tra Vinh,VN,73.0,few clouds,9.9347,106.3453,Hồng Ân
546,Ipixuna,BR,85.95,overcast clouds,-1.7625,-48.8043,Casa da Oscarina
547,Sungai Besar,MY,77.05,broken clouds,3.6746,100.9867,NIDA Rooms Sabak Bernam Comfort
554,Moree,AU,71.62,overcast clouds,-29.4667,149.85,Molika Springs Motel
557,Calama,CL,72.09,clear sky,-22.4667,-68.9333,Diego De Almagro Calama
558,Manjeshwar,IN,79.75,clear sky,12.7194,74.8861,Mangalore Beach House - EWA Ikigai
561,Conde,BR,83.66,few clouds,-7.2597,-34.9075,Pousada Beija Flor
563,Lazaro Cardenas,MX,83.8,clear sky,17.9583,-102.2,Baymont by Wyndham Lazaro Cardenas
572,Bangolo,CI,75.13,overcast clouds,7.0069,-7.475,RESIDENCE HÔTEL GNININSEMIN DE BANGOLO
573,Cairns,AU,76.06,scattered clouds,-16.9167,145.7667,Mantra Trilogy Cairns
574,Mutuipe,BR,75.09,heavy intensity rain,-13.2286,-39.5047,Hotel Portal do Vale
585,Tres Palos,MX,83.01,clear sky,18.1833,-101.6167,
589,Byron Bay,AU,73.87,overcast clouds,-28.65,153.6167,Backpackers Inn
590,Sulangan,PH,81.19,broken clouds,11.1373,123.7228,Maia's Beach Resort
592,Garissa,KE,79.52,broken clouds,-0.4536,39.6401,Sharif Plaza Hotel
594,Sabang,ID,81.5,broken clouds,5.8933,95.3214,Hotel Citra
595,Sao Gabriel Da Cachoeira,BR,84.72,light rain,-0.1303,-67.0892,Alarne - Área De Lazer Do Alto Rio Negro
597,Ambon,ID,77.14,scattered clouds,-3.6954,128.1814,Swiss-Belhotel Ambon
