City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description,Country,Date
59,Sitka,57.0531,-135.33,37.29,70,100,10.36,overcast clouds,US,2022-01-30 18:38:27
60,Hilo,19.7297,-155.09,75.61,72,40,6.91,scattered clouds,US,2022-01-30 18:36:24
61,Labuhan,-6.8844,112.2051,77.74,88,100,6.73,light rain,ID,2022-01-30 18:38:27
62,Arraial Do Cabo,-22.9661,-42.0278,89.56,58,40,8.05,scattered clouds,BR,2022-01-30 18:38:27
63,Ribeira Grande,38.5167,-28.7,57.6,77,40,12.66,scattered clouds,PT,2022-01-30 18:38:28
64,Geraldton,-28.7667,114.6,72.01,88,100,18.41,moderate rain,AU,2022-01-30 18:38:28
65,Molo,-0.2479,35.7374,53.8,67,27,1.61,scattered clouds,KE,2022-01-30 18:38:28
66,New Norfolk,-42.7826,147.0587,56.71,74,4,2.08,clear sky,AU,2022-01-30 18:38:15
67,Effingham,32.3669,-81.3332,55.58,25,0,12.1,clear sky,US,2022-01-30 18:38:29
68,Xilitla,21.3333,-98.9667,69.96,50,0,6.91,clear sky,MX,2022-01-30 18:38:29
69,Mazyr,52.0495,29.2456,31.66,96,100,10.45,overcast clouds,BY,2022-01-30 18:38:30
70,Hualmay,-11.0964,-77.6139,75.15,71,100,11.23,overcast clouds,PE,2022-01-30 18:38:30
71,Portland,45.5234,-122.6762,49.37,73,75,8.01,broken clouds,US,2022-01-30 18:37:55
72,Gornopravdinsk,60.05,69.9,0.0,99,100,3.8,overcast clouds,RU,2022-01-30 18:38:30
73,Itarantim,-15.6597,-40.0656,86.92,55,100,7.16,overcast clouds,BR,2022-01-30 18:38:31
74,Kharagauli,42.0214,43.1977,34.16,80,100,4.9,overcast clouds,GE,2022-01-30 18:38:31
75,Bethel,41.3712,-73.414,25.54,47,0,1.99,clear sky,US,2022-01-30 18:38:31
76,Hovin,63.1055,10.225,30.96,97,100,4.27,light snow,NO,2022-01-30 18:38:32
77,Manoel Urbano,-8.8389,-69.2597,84.49,66,100,3.78,overcast clouds,BR,2022-01-30 18:38:32
78,Upernavik,72.7868,-56.1549,-3.62,70,100,9.26,overcast clouds,GL,2022-01-30 18:38:32
79,Santa Rosa,14.3122,121.1114,79.09,83,49,11.25,scattered clouds,PH,2022-01-30 18:38:32
80,Bogandinskiy,56.8937,65.8938,3.47,96,100,2.73,overcast clouds,RU,2022-01-30 18:38:33
81,Fonte Boa,-2.4959,-66.2662,86.38,62,100,3.11,overcast clouds,BR,2022-01-30 18:38:33
82,Chokurdakh,70.6333,147.9167,-29.9,88,18,1.81,few clouds,RU,2022-01-30 18:38:33
83,Diego De Almagro,-26.3667,-70.05,79.36,22,0,15.73,clear sky,CL,2022-01-30 18:38:34
84,Peniche,39.3558,-9.3811,59.56,59,15,6.42,few clouds,PT,2022-01-30 18:38:34
85,Kadnikov,59.5022,40.338,14.22,94,100,8.32,overcast clouds,RU,2022-01-30 18:38:35
86,Haines Junction,60.7522,-137.5108,8.55,66,97,10.36,overcast clouds,CA,2022-01-30 18:38:35
87,Beira,-19.8436,34.8389,77.09,83,20,8.05,few clouds,MZ,2022-01-30 18:38:35
88,Gat,31.61,34.7642,53.4,100,0,3.33,clear sky,IL,2022-01-30 18:38:36
89,Hofn,64.2539,-15.2082,26.69,50,0,25.61,clear sky,IS,2022-01-30 18:38:36
90,Punta Arenas,-53.15,-70.9167,53.71,43,75,28.77,broken clouds,CL,2022-01-30 18:39:36
91,Chinsali,-10.5414,32.0816,62.28,95,100,2.75,overcast clouds,ZM,2022-01-30 18:39:37
92,Khatanga,71.9667,102.5,-7.17,98,100,9.91,overcast clouds,RU,2022-01-30 18:39:37
93,Port Alfred,-33.5906,26.891,74.95,86,100,21.43,overcast clouds,ZA,2022-01-30 18:39:21
94,East London,-33.0153,27.9116,74.34,88,20,13.8,few clouds,ZA,2022-01-30 18:39:37
95,Seoul,37.5683,126.9778,20.64,71,0,1.14,clear sky,KR,2022-01-30 18:35:53
96,Keelung,25.1283,121.7419,57.09,76,100,12.41,overcast clouds,TW,2022-01-30 18:39:38
97,Busselton,-33.65,115.3333,64.09,70,84,19.51,broken clouds,AU,2022-01-30 18:39:38
